name,proportion_male,proportion_female,gender
Carole,0.0022,0.9978,female
Caroline,0.0017,0.9983,female
Carolyn,0.0028,0.9972,female
Carrie,0.0035,0.9965,female
Carson,0.8986,0.1014,male
Caryn,0,1,female
Casey,0.575,0.425,male
Cass,0.899,0.101,male
Cassady,0.0869,0.9131,female
Cassandra,0.0023,0.9977,female
Cassie,0.006,0.994,female
Catalina,8e-4,0.9992,female
Catarina,0,1,female
Cate,0,1,female
Catherine,0.0027,0.9973,female
Cathleen,3e-4,0.9997,female
Cathryn,0,1,female
Cecily,0,1,female
Celeste,8e-4,0.9992,female
Celia,9e-4,0.9991,female
Chad,0.9953,0.0047,male
Chamber,1,0,male
Chandler,0.7949,0.2051,male
Charissa,0,1,female
Charlene,0.003,0.997,female
Charles,0.9949,0.0051,male
Charlie,0.9146,0.0854,male
Charmayne,0,1,female
Chelsea,0.0026,0.9974,female
Chelsey,0.0021,0.9979,female
Chelsie,0,1,female
Cheryl,0.0021,0.9979,female
Chessie,0,1,female
Chet,1,0,male
Cheyenne,0.0446,0.9554,female
Chiron,0.6751,0.3249,male
Chloe,0.0019,0.9981,female
Chong,0.5782,0.4218,male
Chris,0.8458,0.1542,male
Chrissa,0,1,female
Chrissy,0,1,female
Christian,0.9391,0.0609,male
Christiane,0.0027,0.9973,female
Christina,0.0041,0.9959,female
Christine,0.0032,0.9968,female
Christo,1,0,male
Christoffer,1,0,male
Christophe,1,0,male
Christopher,0.9948,0.0052,male
Christy,0.0124,0.9876,female
Chrysanthemum,0,1,female
Ciara,3e-4,0.9997,female
Cinamon,0,1,female
Cindy,0.0029,0.9971,female
CJ,0.8627,0.1373,male
Claire,0.0074,0.9926,female
Clara,0.0032,0.9968,female
Clare,0.0501,0.9499,female
Clarisa,0,1,female
Clarissa,7e-4,0.9993,female
Clark,0.9972,0.0028,male
Claudia,0.0053,0.9947,female
Claudio,0.9928,0.0072,male
Clay,0.9941,0.0059,male
Clayton,0.9957,0.0043,male
Clinton,0.9954,0.0046,male
Clotilde,0,1,female
Cody,0.9809,0.0191,male
Coleen,0,1,female
Colin,0.995,0.005,male
Colleen,0.002,0.998,female
Connie,0.0169,0.9831,female
Corey,0.9489,0.0511,male
Cori,0.0873,0.9127,female
Corrina,0,1,female
Cory,0.9474,0.0526,male
Courtney,0.071,0.929,female
Craig,0.9964,0.0036,male
Cristian,0.9726,0.0274,male
Cristin,0.0266,0.9734,female
Cristina,0.0055,0.9945,female
Cristobal,0.9976,0.0024,male
Crystal,0.0034,0.9966,female
Curt,1,0,male
Curtis,0.9922,0.0078,male
Cydney,0.0057,0.9943,female
Cyndie,0,1,female
Cyndy,0,1,female
Cynthia,0.0027,0.9973,female
Daisy,0.0053,0.9947,female
Dakota,0.8005,0.1995,male
Dale,0.9158,0.0842,male
Dalila,0,1,female
Dalyn,0.5988,0.4012,male
Damien,0.9927,0.0073,male
Damoni,0.6607,0.3393,male
Dan,0.9954,0.0046,male
Dana,0.2039,0.7961,female
Daniel,0.9952,0.0048,male
Daniela,0.004,0.996,female
Daniele,0.1527,0.8473,female
Danielle,0.005,0.995,female
Danny,0.9945,0.0055,male
Dante,0.9838,0.0162,male
Daphnee,0,1,female
Darcy,0.1016,0.8984,female
Darin,0.989,0.011,male
Darlene,0.0028,0.9972,female
Darr,1,0,male
Darrell,0.9921,0.0079,male
Darrin,0.995,0.005,male
Darryl,0.9867,0.0133,male
Darwin,0.9979,0.0021,male
Daryl,0.9299,0.0701,male
Dave,0.9985,0.0015,male
David,0.9962,0.0038,male
