name,proportion_male,proportion_female,gender
Mendy,0.0749,0.9251,female
Meredith,0.0354,0.9646,female
Merlyn,0.6451,0.3549,male
Merrick,0.9029,0.0971,male
Meta,0,1,female
Mia,0.0015,0.9985,female
Micah,0.8457,0.1543,male
Michael,0.9946,0.0054,male
Michaella,0,1,female
Michele,0.0093,0.9907,female
Michelle,0.0039,0.9961,female
Micki,0.0119,0.9881,female
Miguel,0.9925,0.0075,male
Mika,0.1416,0.8584,female
Mikaela,0,1,female
Mike,0.9965,0.0035,male
Miki,0.0427,0.9573,female
Miles,0.9973,0.0027,male
Minami,0,1,female
Minda,0,1,female
Mindi,0,1,female
Mindy,0.0016,0.9984,female
Misha,0.0926,0.9074,female
Missy,0,1,female
Misty,0.0027,0.9973,female
Mitch,1,0,male
Mitchell,0.9928,0.0072,male
Mohammad,0.9987,0.0013,male
Molly,0.0025,0.9975,female
Monica,0.004,0.996,female
Monika,0,1,female
Monique,0.0047,0.9953,female
Morgan,0.15310000000000001,0.8469,female
Moritz,1,0,male
Murat,1,0,male
Mya,0.0013,0.9987,female
Myrna,0.0015,0.9985,female
Nabil,0.9535,0.0465,male
Nadia,0.0021,0.9979,female
Nadine,7e-4,0.9993,female
Nahid,0.4657,0.5343,female
Nahum,1,0,male
Nan,0,1,female
Nana,0.2235,0.7765,female
Nancy,0.0028,0.9972,female
Nandita,0,1,female
Naomi,0.0019,0.9981,female
Natalia,0.0013,0.9987,female
Natalie,0.0025,0.9975,female
Natasha,0.003,0.997,female
Nathalia,0,1,female
Nathan,0.9959,0.0041,male
Nathaniel,0.9945,0.0055,male
Nauman,1,0,male
Nayeli,0.0016,0.9984,female
Neal,0.9976,0.0024,male
Neil,0.9964,0.0036,male
Neill,1,0,male
Nelly,0.0042,0.9958,female
Nelson,0.9941,0.0059,male
Nerissa,0,1,female
Nicholas,0.996,0.004,male
Nichole,0.0028,0.9972,female
Nick,0.9978,0.0022,male
Nicklos,1,0,male
Nicola,0.2897,0.7103,female
Nicole,0.0033,0.9967,female
Nik,1,0,male
Niki,0.0321,0.9679,female
Nikia,0.0598,0.9402,female
Nikki,0.0209,0.9791,female
Nina,0.0023,0.9977,female
Nirmala,0,1,female
Nissa,0,1,female
Noah,0.9946,0.0054,male
Nobuko,0,1,female
Norm,1,0,male
Oksana,0,1,female
Oleh,1,0,male
Olena,0,1,female
Olga,0.0043,0.9957,female
Oliver,0.9937,0.0063,male
Olivia,0.0019,0.9981,female
Omar,0.9934,0.0066,male
Oralia,0.001,0.999,female
Pablo,0.9978,0.0022,male
Padraic,1,0,male
Paige,0.0096,0.9904,female
Pallavi,0,1,female
Pam,7e-4,0.9993,female
Pamela,0.0022,0.9978,female
Paolina,0,1,female
Park,1,0,male
Parul,0,1,female
Patrice,0.0196,0.9804,female
Patricia,0.003,0.997,female
Patrick,0.9954,0.0046,male
Patrik,1,0,male
Patti,0.001,0.999,female
Patty,0.0027,0.9973,female
Paul,0.996,0.004,male
Paula,0.003,0.997,female
Paulina,4e-4,0.9996,female
Pavan,1,0,male
Pawel,1,0,male
Pedro,0.9928,0.0072,male
Penelope,0,1,female
Penny,0.0036,0.9964,female
Perry,0.9694,0.0306,male
Pete,0.9965,0.0035,male
Peter,0.9965,0.0035,male
Petrina,0,1,female
Phil,0.9975,0.0025,male
Philip,0.9966,0.0034,male
Philipp,1,0,male
Phillip,0.9953,0.0047,male
Pia,0,1,female
Prasad,1,0,male
Precious,0.0044,0.9956,female
Prem,1,0,male
Priscilla,0.0023,0.9977,female
Qi,1,0,male
Rachael,0.0023,0.9977,female
Rachel,0.0031,0.9969,female
Rachelle,0.0011,0.9989,female
Rae,0.0292,0.9708,female
Raechel,0,1,female
RaeLee,0,1,female
Raelynn,0,1,female
Raffaele,1,0,male
Raina,0,1,female
Rajat,1,0,male
Rakesh,1,0,male
Ramesh,1,0,male
Randal,0.9951,0.0049,male
Randall,0.9936,0.0064,male
Randel,0.9923,0.0077,male
Randi,0.0344,0.9656,female
Randy,0.9839,0.0161,male
Ranee,0,1,female
Raquel,0.0061,0.9939,female
Raul,0.993,0.007,male
Raven,0.0687,0.9313,female
Ravi,0.9976,0.0024,male
Ray,0.9842,0.0158,male
Raymond,0.9951,0.0049,male
Reagan,0.1823,0.8177,female
Rebecca,0.0027,0.9973,female
Rebecka,0,1,female
Rebeka,0,1,female
Rebekah,0.0018,0.9982,female
Reem,0,1,female
Regan,0.1906,0.8094,female
Regina,0.0034,0.9966,female
Ren,0.9359,0.0641,male
Rena,0.0038,0.9962,female
Rene,0.6549,0.3451,male
Renee,0.0082,0.9918,female
Rheannon,0,1,female
Ricardo,0.9934,0.0066,male
Rich,1,0,male
Richard,0.9963,0.0037,male
Rick,0.9982,0.0018,male
Rita,0.0026,0.9974,female
Robbin,0.1628,0.8372,female
Robert,0.9959,0.0041,male
Roberta,0.0043,0.9957,female
Roberto,0.9913,0.0087,male
Robin,0.1213,0.8787,female
Roby,0.9728,0.0272,male
Robyn,0.018,0.982,female
Rocci,1,0,male
Rochelle,0.0075,0.9925,female
Rockwell,1,0,male
Rodney,0.9949,0.0051,male
Rodolfo,0.9967,0.0033,male
Rodrigo,0.9996,4e-4,male
Roger,0.9962,0.0038,male
Rohan,0.9988,0.0012,male
Romeo,1,0,male
Ron,0.9979,0.0021,male
Ronald,0.9962,0.0038,male
Ronda,0.0084,0.9916,female
Roni,0.0961,0.9039,female
Rory,0.8746,0.1254,male
Rose,0.0042,0.9958,female
Rosel,0,1,female
Ross,0.9954,0.0046,male
Rufus,0.9963,0.0037,male
Russell,0.9954,0.0046,male
Rusty,0.9665,0.0335,male
Ruth,0.0037,0.9963,female
Ryan,0.9792,0.0208,male
Rylan,0.8985,0.1015,male
Sadye,0,1,female
Sagan,0.3995,0.6005,female
Sahid,1,0,male
Salvador,0.9948,0.0052,male
Sam,0.9881,0.0119,male
Samantha,0.0022,0.9978,female
Samara,0,1,female
Samina,0,1,female
Samuel,0.9954,0.0046,male
Sandi,0.002,0.998,female
Sandra,0.0029,0.9971,female
Sandy,0.1036,0.8964,female
Sara,0.003,0.997,female
Sarah,0.0029,0.9971,female
Sarina,0,1,female
Sascha,0.2191,0.7809,female
Savanah,0,1,female
Scott,0.9964,0.0036,male
Sean,0.9921,0.0079,male
Seema,0,1,female
Selina,0,1,female
Sergey,1,0,male
Sergi,1,0,male
Sergio,0.9936,0.0064,male
Seri,0,1,female
Serkan,1,0,male
Seth,0.9963,0.0037,male
Shain,0.9736,0.0264,male
Shalece,0,1,female
Shanaka,0,1,female
Shandell,0.1088,0.8912,female
Shane,0.9801,0.0199,male
Shannon,0.1402,0.8598,female
Shanon,0.2537,0.7463,female
Shari,0.0011,0.9989,female
Sharlene,0,1,female
Sharon,0.0037,0.9963,female
Sharyn,0,1,female
Shaun,0.9521,0.0479,male
Shawn,0.8913,0.1087,male
Shawna,0.0022,0.9978,female
Shayan,0.9476,0.0524,male
Shayna,4e-4,0.9996,female
Shayne,0.7983,0.2017,male
Sheena,0.0029,0.9971,female
Sheila,0.0026,0.9974,female
Shelby,0.0868,0.9132,female
Sheldon,0.9817,0.0183,male
Shelley,0.0161,0.9839,female
Shelly,0.0179,0.9821,female
Shereen,0,1,female
Sheri,0.0019,0.9981,female
Sherman,0.9933,0.0067,male
Sherri,0.002,0.998,female
Sherry,0.0037,0.9963,female
Sheryl,0.0023,0.9977,female
Shevon,0.0331,0.9669,female
Shin,0.8276,0.1724,male
Shinji,1,0,male
Sid,1,0,male
Sidney,0.7134,0.2866,male
Sienna,0,1,female
Signe,0,1,female
Silas,0.9993,7e-4,male
Silvia,0.0029,0.9971,female
Simon,0.9964,0.0036,male
Siobhan,0,1,female
Siva,1,0,male
Sky,0.3926,0.6074,female
Soheila,0,1,female
Solomon,0.9993,7e-4,male
Sonya,0.0028,0.9972,female
Soria,0,1,female
Soyoung,0,1,female
Stacey,0.0803,0.9197,female
Staci,0.0022,0.9978,female
Stacie,0.0048,0.9952,female
Stacy,0.1101,0.8899,female
Stefan,0.9972,0.0028,male
Stefanie,0.0011,0.9989,female
Steph,0,1,female
Stephanie,0.0035,0.9965,female
Stephen,0.9963,0.0037,male
Sterling,0.93,0.07,male
Steve,0.9961,0.0039,male
Steven,0.9962,0.0038,male
Stuart,0.9953,0.0047,male
Su,0.041,0.959,female
Sue,0.0037,0.9963,female
Sun,0.3529,0.6471,female
Sunil,1,0,male
Sunshine,0.0083,0.9917,female
Suresh,1,0,male
Susan,0.0022,0.9978,female
Susanne,0,1,female
Sushma,0,1,female
Susie,0.0024,0.9976,female
Suzanne,0.0022,0.9978,female
Svetlana,0,1,female
Swati,0,1,female
Sydney,0.0367,0.9633,female
Sydni,0,1,female
Sylvia,0.0038,0.9962,female
Tala,0,1,female
Tamara,0.0031,0.9969,female
Tamas,1,0,male
Tami,0.0023,0.9977,female
Tammy,0.004,0.996,female
Tamra,3e-4,0.9997,female
Tana,6e-4,0.9994,female
Tania,0.0024,0.9976,female
Tanya,0.0034,0.9966,female
Tao,0.94,0.06,male
Tara,0.003,0.997,female
Tarron,0.9422,0.0578,male
Tasha,0.0029,0.9971,female
Tawn,0.1007,0.8993,female
Tay,0.673,0.327,male
Taylor,0.2631,0.7369,female
TC,1,0,male
Ted,0.9981,0.0019,male
Teddi,0,1,female
Tekla,0,1,female
Tenisha,0,1,female
Teresa,0.0027,0.9973,female
Teresita,0,1,female
Teri,0.0046,0.9954,female
Terina,0,1,female
Terralyn,0,1,female
Terrance,0.9875,0.0125,male
Terrence,0.9916,0.0084,male
Terri,0.0059,0.9941,female
Terry,0.8046,0.1954,male
Tess,0,1,female
Tessa,4e-4,0.9996,female
Thane,1,0,male
Theodora,0.0031,0.9969,female
Theresa,0.0029,0.9971,female
Thinh,1,0,male
Thom,1,0,male
Thomas,0.9964,0.0036,male
Tiah,0,1,female
Tiffany,0.0035,0.9965,female
Tim,0.9975,0.0025,male
Timothy,0.9956,0.0044,male
Tina,0.003,0.997,female
Tobin,0.9876,0.0124,male
Toby,0.8156,0.1844,male
Tod,1,0,male
Todd,0.996,0.004,male
Tom,0.997,0.003,male
Toni,0.0128,0.9872,female
Tony,0.9883,0.0117,male
Tonya,0.0034,0.9966,female
Torrey,0.7992,0.2008,male
Tory,0.64,0.36,male
Traci,0.0042,0.9958,female
Tracy,0.182,0.818,female
Travis,0.9927,0.0073,male
Treena,0,1,female
Trenea,0,1,female
Trent,0.9973,0.0027,male
Trevor,0.9953,0.0047,male
Tricia,0.0021,0.9979,female
Trina,9e-4,0.9991,female
Trischa,0,1,female
Trisha,0.0013,0.9987,female
Tristen,0.7553,0.2447,male
Troy,0.9875,0.0125,male
Tuba,0,1,female
Tucker,0.99,0.01,male
Tyler,0.9704,0.0296,male
Tyson,0.9892,0.0108,male
Urmila,0,1,female
Ursula,0,1,female
Urszula,0,1,female
Valentino,1,0,male
Valerian,1,0,male
Valerie,0.0029,0.9971,female
Valyn,0,1,female
Van,0.9329,0.0671,male
Vanessa,0.004,0.996,female
Varvara,0,1,female
Vaughn,0.962,0.038,male
Vernita,0,1,female
Veronica,0.0042,0.9958,female
Vickie,0.0033,0.9967,female
Victor,0.9935,0.0065,male
Victoria,0.0027,0.9973,female
Vijay,1,0,male
Viktor,1,0,male
Vincent,0.9952,0.0048,male
Vinh,0.99,0.01,male
Virginia,0.0033,0.9967,female
Vivian,0.0085,0.9915,female
Wade,0.9975,0.0025,male
Walker,0.98740000000000006,0.0126,male
Wallace,0.9935,0.0065,male
Warren,0.9952,0.0048,male
Wayne,0.9959,0.0041,male
Wei,0.7768,0.2232,male
Wendy,0.0035,0.9965,female
Wesley,0.9877,0.0123,male
Whitney,0.0475,0.9525,female
Will,0.9921,0.0079,male
William,0.9961,0.0039,male
Willie,0.8455,0.1545,male
Windy,0.0023,0.9977,female
Winston,0.9968,0.0032,male
Xavier,0.9884,0.0116,male
Xiang,1,0,male
Xuan,0.0798,0.9202,female
Xue,0.7534,0.2466,male
Yanni,0.8184,0.1816,male
Yasmeen,0,1,female
Yin,0,1,female
Yong,0.6948,0.3052,male
Youssef,1,0,male
Yue,0.9349,0.0651,male
Yuridia,0,1,female
Yvan,0.9821,0.0179,male
Yvette,0.003,0.997,female
Zach,1,0,male
Zachary,0.9967,0.0033,male
Zeena,0,1,female
Zev,1,0,male
Zhen,1,0,male
Ziad,1,0,male
Zoe,0.0051,0.9949,female
Zola,0,1,female
